panel	compound_id	name	reported_smiles	reported_inchikey	computed_inchikey	structure_roundtrip_exact	single_covalent_component	exact_davis_parent_overlap	exact_davis_murcko_overlap	maximum_davis_morgan2_tanimoto	eligibility_status
OKL2026	HMSL12071	TAK-593	Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1	DZFZXPPHBWCXPQ-UHFFFAOYSA-N	DZFZXPPHBWCXPQ-UHFFFAOYSA-N	true	true	false	false	0.24742268	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12149	CAY10561	O=C(NC(CO)c1ccc(F)c(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1	YMUYGRBBEDYUOP-UHFFFAOYSA-N	YMUYGRBBEDYUOP-UHFFFAOYSA-N	true	true	false	false	0.23076923	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12083	GSK-269962A	CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21	YOVNFNXUCOWYSG-UHFFFAOYSA-N	YOVNFNXUCOWYSG-UHFFFAOYSA-N	true	true	false	false	0.31034483	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10226	TOFACITINIB	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	UJLAWZDWDVHWOW-YPMHNXCESA-N	UJLAWZDWDVHWOW-YPMHNXCESA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10182	LINIFANIB	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	MPVGZUGXCQEXTM-UHFFFAOYSA-N	MPVGZUGXCQEXTM-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10285	PHA-767491	O=C1NCCc2[nH]c(-c3ccncc3)cc21	DKXHSOUZPMHNIZ-UHFFFAOYSA-N	DKXHSOUZPMHNIZ-UHFFFAOYSA-N	true	true	false	false	0.21538462	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12139	MK-2 Inhibitor III	O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21	OWFLADWRSCINST-UHFFFAOYSA-N	OWFLADWRSCINST-UHFFFAOYSA-N	true	true	false	false	0.22500000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL11530	GALUNISERTIB	Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1	IVRXNBXKWIJUQB-UHFFFAOYSA-N	IVRXNBXKWIJUQB-UHFFFAOYSA-N	true	true	false	false	0.21782178	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10394	CERITINIB	Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1	VERWOWGGCGHDQE-UHFFFAOYSA-N	VERWOWGGCGHDQE-UHFFFAOYSA-N	true	true	false	false	0.51685393	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL11190	SAPITINIB	CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1	DFJSJLGUIXFDJP-UHFFFAOYSA-N	DFJSJLGUIXFDJP-UHFFFAOYSA-N	true	true	false	false	0.42696629	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12150	DB07268	NC(=O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1	QHPKKGUGRGRSGA-UHFFFAOYSA-N	QHPKKGUGRGRSGA-UHFFFAOYSA-N	true	true	false	false	0.25000000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10198	VANDETANIB	COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1	UHTHHESEBZOYNR-UHFFFAOYSA-N	UHTHHESEBZOYNR-UHFFFAOYSA-N	true	true	true	false	0.53947368	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10028	BMS-345541	Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1	PSPFQEBFYXJZEV-UHFFFAOYSA-N	PSPFQEBFYXJZEV-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12142	OSI-632	NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1	HXHAJRMTJXHJJZ-UHFFFAOYSA-N	HXHAJRMTJXHJJZ-UHFFFAOYSA-N	true	true	false	false	0.23076923	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10124	MGCD-265	Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1	UFICVEHDQUKCEA-UHFFFAOYSA-N	UFICVEHDQUKCEA-UHFFFAOYSA-N	true	true	false	false	0.33018868	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10099	NILOTINIB	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1	HHZIURLSWUIHRB-UHFFFAOYSA-N	HHZIURLSWUIHRB-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL11820	SU-9516	COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2	QNUKRWAIZMBVCU-WCIBSUBMSA-N	QNUKRWAIZMBVCU-WCIBSUBMSA-N	true	true	false	false	0.27272727	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10066	MLN-8054	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1	HHFBDROWDBDFBR-UHFFFAOYSA-N	HHFBDROWDBDFBR-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10401	GW632580X	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1	MYQAUKPBNJWPIE-UHFFFAOYSA-N	MYQAUKPBNJWPIE-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
